date,year,month,quarter,segment,sample_count,depth_bins_1m,effective_spacing_m,mae,rmse,r2,stable_day,stability_threshold,data_status
2023-02-04,2023,2,Q1,full_year_stable,11323,3707,1.0432,0.0412,0.092,0.9942,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-05,2023,2,Q1,full_year_stable,11322,3579,1.0805,0.0348,0.0863,0.9943,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-06,2023,2,Q1,full_year_stable,11282,3661,1.0563,0.0301,0.0596,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-07,2023,2,Q1,full_year_stable,11056,3736,1.0351,0.0364,0.0827,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-08,2023,2,Q1,full_year_stable,11420,3673,1.0528,0.0438,0.0824,0.9948,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-09,2023,2,Q1,full_year_stable,11380,3695,1.0465,0.0436,0.08,0.9936,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-10,2023,2,Q1,full_year_stable,10719,3618,1.0688,0.0472,0.0964,0.9943,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-11,2023,2,Q1,full_year_stable,10731,3631,1.065,0.0515,0.0893,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-12,2023,2,Q1,full_year_stable,11050,3688,1.0485,0.0586,0.0958,0.9915,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-13,2023,2,Q1,full_year_stable,10869,3564,1.085,0.0516,0.0933,0.9942,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-14,2023,2,Q1,full_year_stable,10387,3586,1.0784,0.0493,0.0899,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-15,2023,2,Q1,full_year_stable,11022,3650,1.0595,0.0518,0.0892,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-16,2023,2,Q1,full_year_stable,10356,3725,1.0381,0.0473,0.0809,0.9953,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-17,2023,2,Q1,full_year_stable,11560,3654,1.0583,0.0402,0.0781,0.9951,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-18,2023,2,Q1,full_year_stable,11438,3617,1.0691,0.0444,0.0828,0.992,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-19,2023,2,Q1,full_year_stable,10919,3675,1.0522,0.0449,0.0969,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-20,2023,2,Q1,full_year_stable,11364,3726,1.0378,0.0466,0.0979,0.9942,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-21,2023,2,Q1,full_year_stable,11264,3696,1.0463,0.044,0.0793,0.9947,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-22,2023,2,Q1,full_year_stable,11518,3712,1.0418,0.0457,0.0838,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-23,2023,2,Q1,full_year_stable,10991,3604,1.073,0.0477,0.0783,0.993,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-24,2023,2,Q1,full_year_stable,11332,3694,1.0468,0.0412,0.0804,0.9934,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-25,2023,2,Q1,full_year_stable,11414,3664,1.0554,0.0353,0.0835,0.993,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-26,2023,2,Q1,full_year_stable,11588,3691,1.0477,0.0319,0.0636,0.9941,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-27,2023,2,Q1,full_year_stable,12095,3736,1.0351,0.0397,0.0866,0.9946,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-02-28,2023,2,Q1,full_year_stable,11722,3672,1.0531,0.0431,0.0722,0.9945,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-01,2023,3,Q1,full_year_stable,11318,3679,1.0511,0.0443,0.082,0.9942,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-02,2023,3,Q1,full_year_stable,11637,3664,1.0554,0.0485,0.0892,0.9939,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-03,2023,3,Q1,full_year_stable,11539,3740,1.034,0.0512,0.0901,0.9943,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-04,2023,3,Q1,full_year_stable,12008,3709,1.0426,0.0443,0.0923,0.9955,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-05,2023,3,Q1,full_year_stable,11479,3708,1.0429,0.0376,0.0699,0.9942,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-06,2023,3,Q1,full_year_stable,11924,3714,1.0412,0.0424,0.0774,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-07,2023,3,Q1,full_year_stable,11122,3676,1.052,0.0444,0.0926,0.9941,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-08,2023,3,Q1,full_year_stable,11588,3720,1.0395,0.0438,0.0827,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-09,2023,3,Q1,full_year_stable,12013,3698,1.0457,0.043,0.079,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-10,2023,3,Q1,full_year_stable,11463,3620,1.0682,0.0456,0.0939,0.9945,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-11,2023,3,Q1,full_year_stable,11437,3689,1.0483,0.0462,0.0889,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-12,2023,3,Q1,full_year_stable,11440,3682,1.0502,0.0476,0.0966,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-13,2023,3,Q1,full_year_stable,11616,3680,1.0508,0.048,0.1005,0.9934,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-14,2023,3,Q1,full_year_stable,11786,3691,1.0477,0.0576,0.0851,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-15,2023,3,Q1,full_year_stable,12006,3679,1.0511,0.0521,0.089,0.9938,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-16,2023,3,Q1,full_year_stable,11281,3714,1.0412,0.0511,0.0935,0.9925,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-17,2023,3,Q1,full_year_stable,11502,3739,1.0342,0.0503,0.0897,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-18,2023,3,Q1,full_year_stable,11560,3728,1.0373,0.0485,0.0998,0.9943,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-19,2023,3,Q1,full_year_stable,11666,3670,1.0537,0.0419,0.0769,0.9946,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-20,2023,3,Q1,full_year_stable,11174,3660,1.0566,0.0434,0.0821,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-21,2023,3,Q1,full_year_stable,11781,3615,1.0697,0.0398,0.0758,0.9951,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-22,2023,3,Q1,full_year_stable,11395,3667,1.0545,0.0396,0.0867,0.9933,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-23,2023,3,Q1,full_year_stable,11639,3726,1.0378,0.0421,0.0794,0.995,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-24,2023,3,Q1,full_year_stable,11307,3740,1.034,0.046,0.0967,0.9933,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-25,2023,3,Q1,full_year_stable,12364,3669,1.054,0.0435,0.0828,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-26,2023,3,Q1,full_year_stable,11526,3740,1.034,0.0485,0.1015,0.9936,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-27,2023,3,Q1,full_year_stable,12451,3709,1.0426,0.0523,0.0868,0.991,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-28,2023,3,Q1,full_year_stable,11651,3712,1.0418,0.0472,0.0879,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-29,2023,3,Q1,full_year_stable,11590,3639,1.0627,0.0424,0.0766,0.9953,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-30,2023,3,Q1,full_year_stable,10977,3716,1.0406,0.0502,0.0989,0.9929,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-03-31,2023,3,Q1,full_year_stable,11467,3705,1.0437,0.0477,0.0862,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-01,2023,4,Q2,full_year_stable,12406,3660,1.0566,0.0524,0.0816,0.9922,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-02,2023,4,Q2,full_year_stable,11728,3675,1.0522,0.0436,0.0765,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-03,2023,4,Q2,full_year_stable,11115,3682,1.0502,0.0453,0.09,0.9949,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-04,2023,4,Q2,full_year_stable,10533,3740,1.034,0.0544,0.0886,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-05,2023,4,Q2,full_year_stable,11233,3684,1.0497,0.052,0.093,0.9938,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-06,2023,4,Q2,full_year_stable,11489,3684,1.0497,0.0524,0.1023,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-07,2023,4,Q2,full_year_stable,10981,3740,1.034,0.0509,0.0923,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-08,2023,4,Q2,full_year_stable,11521,3715,1.0409,0.0442,0.0963,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-09,2023,4,Q2,full_year_stable,11464,3664,1.0554,0.0555,0.0995,0.9934,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-10,2023,4,Q2,full_year_stable,11751,3740,1.034,0.0486,0.0864,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-11,2023,4,Q2,full_year_stable,12167,3726,1.0378,0.0498,0.0868,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-12,2023,4,Q2,full_year_stable,11619,3670,1.0537,0.052,0.1052,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-13,2023,4,Q2,full_year_stable,11783,3716,1.0406,0.0469,0.0939,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-14,2023,4,Q2,full_year_stable,11698,3717,1.0404,0.0543,0.0984,0.9907,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-15,2023,4,Q2,full_year_stable,11941,3706,1.0434,0.0507,0.0981,0.9924,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-16,2023,4,Q2,full_year_stable,12073,3716,1.0406,0.0536,0.1052,0.9927,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-17,2023,4,Q2,full_year_stable,11475,3740,1.034,0.0564,0.0951,0.9926,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-18,2023,4,Q2,full_year_stable,12785,3671,1.0534,0.054,0.0917,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-19,2023,4,Q2,full_year_stable,11593,3707,1.0432,0.0557,0.0982,0.9927,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-20,2023,4,Q2,full_year_stable,11970,3740,1.034,0.0526,0.1022,0.993,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-21,2023,4,Q2,full_year_stable,11263,3696,1.0463,0.0465,0.0874,0.9954,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-22,2023,4,Q2,full_year_stable,12323,3658,1.0571,0.0434,0.0945,0.9922,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-23,2023,4,Q2,full_year_stable,12661,3727,1.0376,0.0467,0.0894,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-24,2023,4,Q2,full_year_stable,11821,3698,1.0457,0.0497,0.0897,0.9926,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-25,2023,4,Q2,full_year_stable,11648,3664,1.0554,0.05,0.0904,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-26,2023,4,Q2,full_year_stable,11165,3740,1.034,0.0503,0.089,0.9948,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-27,2023,4,Q2,full_year_stable,11749,3667,1.0545,0.0498,0.093,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-28,2023,4,Q2,full_year_stable,11125,3692,1.0474,0.0444,0.0796,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-29,2023,4,Q2,full_year_stable,12583,3682,1.0502,0.0432,0.0855,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-04-30,2023,4,Q2,full_year_stable,11680,3677,1.0517,0.0408,0.0785,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-01,2023,5,Q2,full_year_stable,12326,3684,1.0497,0.0524,0.1009,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-02,2023,5,Q2,full_year_stable,12018,3669,1.054,0.0499,0.0953,0.9945,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-03,2023,5,Q2,full_year_stable,11620,3724,1.0384,0.0494,0.0959,0.9928,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-04,2023,5,Q2,full_year_stable,12032,3678,1.0514,0.0557,0.0902,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-05,2023,5,Q2,full_year_stable,12348,3646,1.0606,0.0531,0.0889,0.9929,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-06,2023,5,Q2,full_year_stable,12021,3618,1.0688,0.0487,0.0951,0.9926,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-07,2023,5,Q2,full_year_stable,11677,3683,1.05,0.0518,0.096,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-08,2023,5,Q2,full_year_stable,11495,3641,1.0621,0.0544,0.0982,0.9928,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-09,2023,5,Q2,full_year_stable,12174,3740,1.034,0.0503,0.0912,0.9923,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-10,2023,5,Q2,full_year_stable,11479,3666,1.0548,0.0572,0.1075,0.9932,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-11,2023,5,Q2,full_year_stable,12073,3679,1.0511,0.053,0.1035,0.9936,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-12,2023,5,Q2,full_year_stable,12067,3718,1.0401,0.0555,0.0912,0.9938,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-13,2023,5,Q2,full_year_stable,11616,3703,1.0443,0.0605,0.105,0.9923,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-14,2023,5,Q2,full_year_stable,11686,3729,1.037,0.064,0.1068,0.9909,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-15,2023,5,Q2,full_year_stable,12221,3690,1.048,0.0707,0.1137,0.9911,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-16,2023,5,Q2,full_year_stable,11955,3685,1.0494,0.0552,0.1007,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-17,2023,5,Q2,full_year_stable,11351,3736,1.0351,0.0575,0.099,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-18,2023,5,Q2,full_year_stable,11497,3655,1.058,0.0548,0.0929,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-19,2023,5,Q2,full_year_stable,12603,3735,1.0353,0.0521,0.1048,0.9925,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-20,2023,5,Q2,full_year_stable,11132,3678,1.0514,0.0465,0.1036,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-21,2023,5,Q2,full_year_stable,11479,3694,1.0468,0.0466,0.0805,0.994,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-22,2023,5,Q2,full_year_stable,10971,3680,1.0508,0.0455,0.0852,0.9941,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-23,2023,5,Q2,full_year_stable,11340,3712,1.0418,0.0518,0.091,0.993,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-24,2023,5,Q2,full_year_stable,11568,3690,1.048,0.0549,0.1056,0.993,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-25,2023,5,Q2,full_year_stable,11891,3723,1.0387,0.0542,0.0965,0.9922,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-26,2023,5,Q2,full_year_stable,11517,3704,1.044,0.0503,0.0935,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-27,2023,5,Q2,full_year_stable,11005,3706,1.0434,0.0505,0.0849,0.9914,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-28,2023,5,Q2,full_year_stable,12175,3703,1.0443,0.0445,0.0937,0.9943,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-29,2023,5,Q2,full_year_stable,11980,3693,1.0471,0.0443,0.0904,0.9952,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-30,2023,5,Q2,full_year_stable,12457,3681,1.0505,0.0483,0.0814,0.9935,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-05-31,2023,5,Q2,full_year_stable,11636,3690,1.048,0.0482,0.0851,0.9931,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-01,2023,6,Q2,full_year_stable,10858,3653,1.0586,0.0559,0.0959,0.9915,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-02,2023,6,Q2,full_year_stable,11143,3700,1.0451,0.0606,0.108,0.9921,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-03,2023,6,Q2,full_year_stable,11672,3669,1.054,0.0569,0.1018,0.9937,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-04,2023,6,Q2,full_year_stable,10650,3686,1.0491,0.0524,0.089,0.9944,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-05,2023,6,Q2,full_year_stable,11867,3660,1.0566,0.0465,0.0857,0.9965,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-06,2023,6,Q2,full_year_stable,12233,3691,1.0477,0.0451,0.0957,0.9946,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
2023-06-07,2023,6,Q2,full_year_stable,12424,3702,1.0446,0.0505,0.0992,0.992,True,MAE<=0.10C_and_RMSE<=0.20C,fixed_equation_evaluation_record
